id,y,quartos,area,custo,vagas,mobiliado,bairro,endereco,latitude,longitude,estacao,distancia,linha_amarela,linha_azul,linha_lilas,linha_prata,linha_verde,linha_vermelha,update_time,apartment_link
893455914,0,2,37,1345,0,0,Artur Alvim,Rua Miguel Arcanjo de Oliveira,-23.5381742,-46.4848524,Artur Alvim,0.23,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455914
893455932,0,2,37,1242,0,0,Artur Alvim,Rua Miguel Arcanjo de Oliveira,-23.5381742,-46.4848524,Artur Alvim,0.23,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455932
893374300,0,1,34,1238,0,0,Artur Alvim,Rua Inês Monteiro,-23.5410675,-46.4859047,Artur Alvim,0.15,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893374300
893377867,0,2,39,1101,0,0,Artur Alvim,Rua Auguste Laurent,-23.5303495,-46.480828,Artur Alvim,1.17,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893377867
892980882,0,1,37,1271,0,0,Artur Alvim,Rua Afonso Porto,-23.5366281,-46.4893138,Artur Alvim,0.62,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892980882
893440090,0,2,48,1265,1,0,Artur Alvim,Padre Jose Vieira de Matos,-23.5440435,-46.4803665,Artur Alvim,0.61,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893440090
893458617,0,2,58,1341,1,0,Artur Alvim,Rua Padre Miguel de Campos,-23.5418108,-46.4865717,Artur Alvim,0.26,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893458617
892901477,0,1,52,3384,1,0,Barra Funda,Rua Dona Elisa,-23.5297051,-46.6627904,Palmeiras Barra Funda,0.67,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892901477
893438990,0,1,34,3775,1,0,Perdizes,Rua Desembargador Guimarães,-23.5299773,-46.6743947,Palmeiras Barra Funda,0.86,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893438990
893453779,0,2,108,7328,2,1,Barra Funda,Rua José Gomes Falcão,-23.5201456,-46.6617078,Palmeiras Barra Funda,0.84,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893453779
892777515,0,1,47,2990,1,0,Barra Funda,Rua Adalberto Kemeny,-23.520124,-46.675846,Palmeiras Barra Funda,1.04,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892777515
892828289,0,1,48,3204,1,0,Barra Funda,Rua Adalberto Kemeny,-23.5200236,-46.675909,Palmeiras Barra Funda,1.05,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892828289
893026120,0,2,72,2760,1,0,Perdizes,Rua Padre Antônio Tomás,-23.5280299,-46.6767746,Palmeiras Barra Funda,0.99,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893026120
893432405,0,2,56,3799,1,0,Barra Funda,Rua Tagipuru,-23.5298629,-46.6653663,Palmeiras Barra Funda,0.53,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893432405
892802923,0,1,46,2891,1,0,Barra Funda,Rua Rubens Meireles,-23.5207069,-46.6660098,Palmeiras Barra Funda,0.55,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892802923
893250225,0,2,90,2931,0,0,Perdizes,Rua Palestra Itália,-23.5291277,-46.6785892,Palmeiras Barra Funda,1.2,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893250225
893455360,0,1,58,4167,1,1,Barra Funda,Rua Doutor Alfredo de Castro,-23.5288762,-46.6642343,Palmeiras Barra Funda,0.51,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455360
893140662,0,2,70,4182,1,0,Barra Funda,Rua Rubens Meireles,-23.5207127,-46.6662687,Palmeiras Barra Funda,0.54,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893140662
893217206,0,3,160,12097,2,0,Barra Funda,Rua José Gomes Falcão,-23.520377,-46.6614292,Palmeiras Barra Funda,0.84,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893217206
893442852,0,2,58,3467,1,0,Barra Funda,Rua Doutor Alfredo de Castro,-23.5288762,-46.6642343,Palmeiras Barra Funda,0.51,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893442852
893393754,0,1,51,4976,1,0,Barra Funda,Alameda Olga,-23.5286788,-46.662598,Palmeiras Barra Funda,0.62,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893393754
893444074,0,2,53,3563,1,1,Barra Funda,Rua Dona Elisa,-23.5297105,-46.6627961,Palmeiras Barra Funda,0.67,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893444074
893252118,0,2,67,3539,1,0,Barra Funda,Rua Adalberto Kemeny,-23.5200236,-46.675909,Palmeiras Barra Funda,1.05,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893252118
892994750,0,1,31,2343,0,1,Barra Funda,Rua Torres da Barra,-23.5222979,-46.6632508,Palmeiras Barra Funda,0.56,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892994750
892827931,0,1,35,3442,1,1,Perdizes,Rua Desembargador Guimarães,-23.5299319,-46.6742873,Palmeiras Barra Funda,0.85,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892827931
893133786,0,1,40,3429,1,1,Perdizes,Rua Desembargador Guimarães,-23.5299319,-46.6742873,Palmeiras Barra Funda,0.85,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893133786
892852358,0,3,106,4618,1,0,Perdizes,Rua Barão de Tefé,-23.5264132,-46.6764519,Palmeiras Barra Funda,0.92,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892852358
893337045,0,1,35,3892,1,1,Perdizes,Rua Desembargador Guimarães,-23.5299562,-46.6742061,Palmeiras Barra Funda,0.85,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893337045
893259638,0,1,47,2724,1,0,Barra Funda,Rua Adalberto Kemeny,-23.5202331,-46.6760021,Palmeiras Barra Funda,1.04,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893259638
893439087,0,2,56,3730,1,0,Barra Funda,Rua Doutor Alfredo de Castro,-23.5288762,-46.6642343,Palmeiras Barra Funda,0.51,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893439087
892790872,0,2,66,3785,1,0,Barra Funda,Rua Doutor Alfredo de Castro,-23.527763,-46.6632711,Palmeiras Barra Funda,0.5,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892790872
892987466,0,2,57,3685,1,0,Barra Funda,Rua Doutor Alfredo de Castro,-23.5288762,-46.6642343,Palmeiras Barra Funda,0.51,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892987466
893418876,0,2,58,3473,1,0,Barra Funda,Rua Doutor Alfredo de Castro,-23.5288762,-46.6642343,Palmeiras Barra Funda,0.51,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893418876
893140901,0,2,100,2968,0,0,Barra Funda,Rua Camaragibe,-23.529017,-46.66045,Marechal Deodoro,0.72,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893140901
892831875,0,3,145,3731,1,0,Barra Funda,Rua Tagipuru,-23.5280427,-46.6664526,Palmeiras Barra Funda,0.31,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892831875
892838682,0,1,68,3934,1,1,Barra Funda,Rua Adalberto Kemeny,-23.5200236,-46.675909,Palmeiras Barra Funda,1.05,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892838682
893030475,0,3,110,4000,1,1,Perdizes,Rua Barão de Tefé,-23.5264141,-46.676432,Palmeiras Barra Funda,0.92,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893030475
892777361,0,3,176,12628,4,0,Perdizes,Rua Desembargador Guimarães,-23.52993,-46.674036,Palmeiras Barra Funda,0.83,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/892777361
892776400,0,2,75,3377,0,1,Jardim Paulista,Rua Pamplona,-23.565326,-46.6553403,Trianon Masp,0.24,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892776400
892781821,0,1,48,6105,1,1,Jardim Paulista,Alameda Itu,-23.5672912,-46.6553734,Trianon Masp,0.43,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892781821
892793094,0,2,100,7159,2,0,Jardim Paulista,Alameda Campinas,-23.5673785,-46.6544553,Trianon Masp,0.42,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892793094
893054036,0,1,40,2478,1,0,Consolação,Rua Bela Cintra,-23.5529501,-46.6560129,Higienopolis Mackenzie,0.58,1,0,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893054036
893107414,0,1,116,11295,1,1,Consolação,Rua Paim,-23.5541221,-46.6506554,Higienopolis Mackenzie,0.6,1,0,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893107414
893141624,0,1,32,2240,0,1,Consolação,Rua Frei Caneca,-23.5547518,-46.6551262,Consolacao,0.64,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893141624
893185922,0,2,69,3989,1,0,Bela Vista,Alameda Ribeirão Preto,-23.5646802,-46.6483894,Brigadeiro,0.34,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893185922
893440249,0,2,44,3065,1,0,Jardim Paulista,Rua José Maria Lisboa,-23.5673159,-46.658489,Trianon Masp,0.63,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893440249
893248038,0,1,45,2422,0,1,Consolação,Rua Avanhandava,-23.552296,-46.6476409,Higienopolis Mackenzie,0.6,1,0,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893248038
893428362,0,1,64,2060,0,0,Bela Vista,Rua Professor Laerte Ramos de Carvalho,-23.5559099,-46.6406638,Japao Liberdade,0.52,0,1,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893428362
893457128,0,2,48,2962,1,1,Bela Vista,Avenida Nove de Julho,-23.5589133,-46.6536044,Trianon Masp,0.52,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893457128
892911412,0,2,82,4636,1,0,Jardim Paulista,Alameda Santos,-23.5667663,-46.652373,Brigadeiro,0.37,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892911412
892935811,0,1,45,4998,1,1,Jardim Paulista,Alameda Jaú,-23.5670897,-46.6539909,Trianon Masp,0.38,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892935811
892955679,0,1,42,3326,1,1,Jardim Paulista,Alameda Jaú,-23.5689561,-46.6520311,Brigadeiro,0.34,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892955679
